Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,291.0625305175781,296.2961730957031,290.2821044921875,294.4598083496094,276.69683837890625,4268231
2010-01-19,294.7352600097656,299.14251708984375,292.0725402832031,294.32208251953125,276.5673828125,4231078
2010-01-20,295.2402648925781,305.1106872558594,295.2402648925781,304.3761291503906,286.0149230957031,9929177
2010-01-21,302.9988708496094,305.7533874511719,294.91888427734375,296.02069091796875,278.16351318359375,4307799
2010-01-22,292.6234436035156,302.9988708496094,289.2261962890625,295.7911682128906,277.9478454589844,9471058
2010-01-25,295.7911682128906,304.6056823730469,292.3479919433594,303.8252258300781,285.4972839355469,5880014
2010-01-27,302.5397644042969,304.6515808105469,293.81707763671875,296.47979736328125,278.5949401855469,5493885
2010-01-28,297.48980712890625,301.0247802734375,285.553466796875,287.98663330078125,270.6141052246094,8299959
2010-01-29,285.553466796875,288.2161865234375,279.2639465332031,281.3298645019531,264.3589172363281,7455753
2010-02-01,280.0444030761719,288.0325622558594,280.0444030761719,285.73712158203125,268.50030517578125,4209728
2010-02-02,288.76708984375,289.868896484375,281.0544128417969,282.4775695800781,265.4374084472656,5002944
2010-02-03,284.6352844238281,287.1602783203125,281.4216613769531,283.71710205078125,266.60211181640625,3974576
2010-02-04,281.8807678222656,283.71710205078125,275.91259765625,279.2180480957031,262.37451171875,2808774
2010-02-05,277.28985595703125,279.5393981933594,270.31170654296875,275.4994201660156,258.88018798828125,4264660
2010-02-08,277.3816833496094,285.0943908691406,274.9026184082031,283.12030029296875,266.0413818359375,5237081
2010-02-09,284.6352844238281,290.60345458984375,281.8807678222656,287.5275573730469,270.1827392578125,6672234
2010-02-10,289.2261962890625,292.3479919433594,282.9825744628906,289.50164794921875,272.03778076171875,5900595
2010-02-11,289.6852722167969,291.888916015625,285.32391357421875,288.76708984375,271.3475341796875,3673278
2010-02-15,291.0625305175781,291.0625305175781,261.1299133300781,262.23175048828125,246.4128875732422,20663297
2010-02-16,262.5989990234375,265.8126525878906,247.31134033203125,249.3772430419922,234.3337860107422,49059303
2010-02-17,251.02996826171875,258.6967468261719,251.02996826171875,256.3094787597656,240.84786987304688,17569953
2010-02-18,256.1717529296875,261.1299133300781,253.417236328125,258.83447265625,243.22055053710938,7641741
2010-02-19,257.5949401855469,260.67083740234375,251.8563232421875,255.98812866210938,240.5458984375,9582805
2010-02-22,258.00811767578125,259.844482421875,253.417236328125,254.24359130859375,238.9066162109375,6167576
2010-02-23,252.49905395507812,258.1917419433594,252.49905395507812,257.1817626953125,241.66751098632812,4072597
2010-02-24,257.0899353027344,257.0899353027344,252.49905395507812,253.37132263183594,238.08694458007812,5665224
2010-02-25,254.3354034423828,257.0899353027344,252.95814514160156,253.6467742919922,238.34576416015625,7001121
2010-02-26,255.2535858154297,258.9263000488281,253.2335968017578,256.4931335449219,241.02044677734375,6996919
2010-03-02,257.0899353027344,268.8426208496094,257.0899353027344,266.4553527832031,250.3816680908203,6822031
2010-03-03,269.0262756347656,270.77081298828125,266.54718017578125,268.0621643066406,251.89158630371094,5552156
2010-03-04,266.271728515625,270.77081298828125,266.271728515625,269.5771789550781,253.31521606445312,3595962
2010-03-05,269.9444274902344,278.89666748046875,269.0262756347656,274.03033447265625,257.49969482421875,8895757
2010-03-08,273.7548828125,278.0244140625,267.1899108886719,268.7508239746094,252.5386962890625,6814308
2010-03-09,268.10809326171875,270.0821533203125,263.5631103515625,267.4653625488281,251.33074951171875,4122953
2010-03-10,268.10809326171875,270.4035339355469,260.7626647949219,264.43536376953125,248.48355102539062,5864997
2010-03-11,265.26171875,271.36761474609375,264.7567443847656,269.8985290527344,253.61717224121094,4389219
2010-03-12,269.0262756347656,275.7748718261719,269.0262756347656,274.62713623046875,258.060546875,4405195
